filename,doi
44.txt,10.1016/j.sbi.2011.09.004.
73.txt,10.1073/pnas.1121471109/-/DCSupplemental.
55.txt,10.1016/j.sbi.2011.10.006.
53.txt,10.1038/nature10911
46.txt,10.1126/science.1190049.
54.txt,10.1016/j.str.2012.05.015.
8.txt,10.1074/jbc.M805866200
88.txt,10.1021/bi0526332
75.txt,10.1073/pnas.
37.txt,10.1021/acs.biochem.9b00993.
61.txt,10.1126/scisignal.2003485.
27.txt,10.1016/s0969-2126(02)00790-6
34.txt,10.1016/j.cell.2019.02.002.
48.txt,10.1038/nature24484.
10.txt,10.1038/s41467-018-05628-0
43.txt,10.1016/j.ab.2011.06.034
28.txt,10.1016/s1097-2765(04)00082-6
67.txt,10.1016/j.sbi.2016.11.016.
21.txt,10.1074/jbc.M704409200
89.txt,"10.1074/mcp.M114.038174,"
79.txt,10.1002/pro.2415
14.txt,10.1107/S2059798316007907
52.txt,10.1111/j.1742-4658.2009.07427.x.
19.txt,10.1093/nar/gkf661
35.txt,10.1016/j.sbi.2019.05.009.
22.txt,10.1016/j.cell.2006.06.057
45.txt,10.1016/j.cmet.2007.09.003
68.txt,10.1016/j.celrep.2017.02.031.
85.txt,10.1074/jbc.RA118.004677
81.txt,10.1002/prot.24812
59.txt,10.1016/j.str.2013.08.011.
20.txt,10.1093/nar/gkv845
13.txt,10.1093/emboj/cdg501
2.txt,10.1110/ps.04908404.
62.txt,10.1016/j.jmb.2014.12.004.
7.txt,10.1101/2024.05.21.595243
31.txt,10.1016/bs.mie.2019.01.003.
3.txt,10.1101/gad.1103303
12.txt,10.1146/annurev.biochem.74.082803.133500
47.txt,10.1021/acs.biochem.6b00448.
86.txt,10.1074/jbc.M113.510313
42.txt,10.1038/s41594-024-01221-w.
50.txt,10.1016/j.jmb.2009.07.028.
40.txt,10.1016/j.sbi.2023.102649.
57.txt,10.1038/nsmb.2655.
58.txt,10.1002/jms.3198.
25.txt,10.1074/jbc.M206327200
80.txt,10.1002/pro.2546
87.txt,10.1074/jbc.M109.024521
32.txt,10.1016/bs.mie.2019.01.003.
72.txt,10.1101/2023.03.27.534461
82.txt,10.1016/j.molcel.2005.02.022
77.txt,10.1371/journal.pone.0126420
4.txt,10.1016/j.cell.2013.05.018
24.txt,10.1016/j.cell.2006.06.057
26.txt,10.1016/j.jmb.2006.12.065
18.txt,10.1093/nar/gkae698
78.txt,10.1002/pro.544
1.txt,10.1110/ps.0219103.
41.txt,10.1038/s41594-023-01137-x.
71.txt,10.1021/jacs.8b03572.
38.txt,10.1016/j.chembiol.2021.12.004.
29.txt,10.1016/j.jbc.2021.100741
65.txt,10.1002/anie.201600638.
69.txt,10.1016/j.molcel.2017.03.020.
17.txt,10.15252/embr.201745680
51.txt,10.1016/j.jmb.2009.07.090
49.txt,10.1016/j.jmb.2008.12.085.
15.txt,10.7554/eLife.40988.001
74.txt,10.1073/pnas.1508449112
6.txt,10.1110/ps.072803507.
5.txt,10.1182/blood-2014-07-
30.txt,10.1016/j.jbc.2021.101545
16.txt,10.7554/eLife.53199
70.txt,10.1007/s00109-017-1561-1.
56.txt,10.1038/nchembio.1159.
33.txt,10.1007/978-1-4939-8706-1_5.
39.txt,10.1016/j.bbagrm.2023.194929.
23.txt,10.1016/s1097-2765(02)00628-7.
76.txt,10.1371/journal.pone.0105271
84.txt,10.1016/j.molcel.2007.12.006
64.txt,10.1126/science.aac5681.
36.txt,10.1038/s41586-020-03052-3.
66.txt,10.1016/j.jmb.2016.09.018.
63.txt,10.1016/j.str.2008.05.015
11.txt,10.1146/annurev-biochem-060815-014537
60.txt,10.1016/j.jmb.2008.04.078
83.txt,10.1039/c7sc00488e
9.txt,10.1038/s41467-018-05628-0
